intervention_id,student_id,intervention_type,semester,triggered_by,completed,outcome_next_semester
INT0011037,STU013632,Tutoring,Fall 2021,aid gap,False,Withdrew
INT0011038,STU013632,Tutoring,Fall 2021,GPA drop,True,Withdrew
INT0011039,STU013640,Tutoring,Fall 2022,withdrawal risk,True,Withdrew
INT0011040,STU013640,Financial Aid Counseling,Fall 2022,gateway course failure,True,Withdrew
INT0011041,STU013641,Peer Mentoring,Fall 2026,aid gap,True,Enrolled
INT0011042,STU013641,Advising,Fall 2023,withdrawal risk,True,Withdrew
INT0011043,STU013642,Financial Aid Counseling,Fall 2024,GPA drop,False,Withdrew
INT0011044,STU013644,Financial Aid Counseling,Spring 2024,GPA drop,True,Enrolled
INT0011045,STU013645,AI Guide,Fall 2019,GPA drop,True,Enrolled
INT0011046,STU013645,AI Guide,Spring 2019,aid gap,False,Enrolled
INT0011047,STU013647,Advising,Spring 2020,aid gap,True,Graduated
INT0011048,STU013648,Financial Aid Counseling,Fall 2023,gateway course failure,False,Enrolled
INT0011049,STU013650,Peer Mentoring,Fall 2019,withdrawal risk,False,Withdrew
INT0011050,STU013650,Advising,Fall 2019,withdrawal risk,True,Withdrew
INT0011051,STU013651,Peer Mentoring,Fall 2021,gateway course failure,True,Withdrew
INT0011052,STU013651,AI Guide,Spring 2020,withdrawal risk,True,Withdrew
INT0011053,STU013651,Tutoring,Fall 2020,withdrawal risk,True,Enrolled
INT0011054,STU013653,Peer Mentoring,Fall 2021,GPA drop,True,Enrolled
INT0011055,STU013655,Peer Mentoring,Fall 2021,aid gap,False,Enrolled
INT0011056,STU013658,Advising,Spring 2021,GPA drop,True,Withdrew
INT0011057,STU013658,Tutoring,Fall 2021,aid gap,False,Withdrew
INT0011058,STU013660,AI Guide,Fall 2024,gateway course failure,True,Enrolled
INT0011059,STU013662,Advising,Spring 2018,aid gap,True,Withdrew
INT0011060,STU013662,Financial Aid Counseling,Spring 2018,gateway course failure,True,Withdrew
INT0011061,STU013665,AI Guide,Spring 2020,withdrawal risk,False,Graduated
INT0011062,STU013665,Peer Mentoring,Fall 2019,withdrawal risk,False,Enrolled
INT0011063,STU013665,Tutoring,Fall 2020,gateway course failure,True,Enrolled
INT0011064,STU013666,AI Guide,Fall 2022,withdrawal risk,True,Enrolled
INT0011065,STU013670,AI Guide,Fall 2024,gateway course failure,True,Enrolled
INT0011066,STU013670,Tutoring,Fall 2022,withdrawal risk,True,Enrolled
INT0011067,STU013675,Advising,Fall 2022,gateway course failure,True,Withdrew
INT0011068,STU013679,AI Guide,Fall 2021,withdrawal risk,True,Enrolled
INT0011069,STU013681,Advising,Fall 2026,GPA drop,True,Enrolled
INT0011070,STU013681,AI Guide,Spring 2024,GPA drop,True,Enrolled
INT0011071,STU013681,Tutoring,Fall 2023,withdrawal risk,True,Withdrew
INT0011072,STU013683,AI Guide,Spring 2022,withdrawal risk,True,Enrolled
INT0011073,STU013683,Advising,Fall 2022,withdrawal risk,False,Enrolled
INT0011074,STU013683,AI Guide,Spring 2022,gateway course failure,True,Enrolled
INT0011075,STU013684,Tutoring,Fall 2021,withdrawal risk,True,Withdrew
INT0011076,STU013686,Tutoring,Spring 2020,aid gap,True,Withdrew
INT0011077,STU013686,Financial Aid Counseling,Spring 2020,GPA drop,False,Withdrew
INT0011078,STU013686,Financial Aid Counseling,Fall 2020,withdrawal risk,True,Withdrew
INT0011079,STU013690,Advising,Spring 2021,gateway course failure,True,Withdrew
INT0011080,STU013692,Advising,Spring 2021,GPA drop,False,Withdrew
INT0011081,STU013692,Advising,Spring 2021,aid gap,True,Withdrew
INT0011082,STU013692,Peer Mentoring,Spring 2021,withdrawal risk,False,Withdrew
INT0011083,STU013698,AI Guide,Spring 2021,withdrawal risk,True,Graduated
INT0011084,STU013698,AI Guide,Fall 2021,withdrawal risk,True,Enrolled
INT0011085,STU013699,Peer Mentoring,Fall 2021,aid gap,True,Enrolled
INT0011086,STU013699,Advising,Fall 2021,GPA drop,True,Enrolled
INT0011087,STU013699,AI Guide,Fall 2021,GPA drop,True,Enrolled
INT0011088,STU013700,AI Guide,Spring 2024,aid gap,True,Enrolled
INT0011089,STU013700,Advising,Spring 2027,withdrawal risk,True,Enrolled
INT0011090,STU013701,Advising,Fall 2020,withdrawal risk,False,Enrolled
INT0011091,STU013710,Peer Mentoring,Spring 2020,GPA drop,True,Withdrew
INT0011092,STU013714,Peer Mentoring,Fall 2022,gateway course failure,True,Enrolled
INT0011093,STU013716,Peer Mentoring,Spring 2018,withdrawal risk,True,Enrolled
INT0011094,STU013718,AI Guide,Spring 2021,withdrawal risk,True,Withdrew
INT0011095,STU013718,AI Guide,Spring 2021,gateway course failure,False,Withdrew
INT0011096,STU013722,Financial Aid Counseling,Fall 2020,gateway course failure,False,Withdrew
INT0011097,STU013722,Financial Aid Counseling,Fall 2020,gateway course failure,True,Withdrew
INT0011098,STU013722,Tutoring,Spring 2020,GPA drop,True,Graduated
INT0011099,STU013723,Advising,Fall 2023,aid gap,True,Enrolled
INT0011100,STU013723,Advising,Spring 2024,gateway course failure,True,Graduated
INT0011101,STU013724,AI Guide,Fall 2020,aid gap,True,Withdrew
INT0011102,STU013729,Peer Mentoring,Fall 2022,gateway course failure,True,Withdrew
INT0011103,STU013730,Tutoring,Spring 2019,withdrawal risk,True,Withdrew
INT0011104,STU013730,Peer Mentoring,Spring 2019,withdrawal risk,True,Withdrew
INT0011105,STU013730,Tutoring,Spring 2019,aid gap,True,Withdrew
INT0011106,STU013733,Peer Mentoring,Spring 2023,aid gap,True,Enrolled
INT0011107,STU013733,AI Guide,Fall 2022,withdrawal risk,True,Enrolled
INT0011108,STU013733,Peer Mentoring,Fall 2024,GPA drop,False,Withdrew
INT0011109,STU013734,Peer Mentoring,Fall 2019,GPA drop,True,Enrolled
INT0011110,STU013734,Peer Mentoring,Fall 2018,withdrawal risk,True,Enrolled
INT0011111,STU013739,Financial Aid Counseling,Fall 2023,withdrawal risk,False,Enrolled
INT0011112,STU013741,Peer Mentoring,Fall 2022,gateway course failure,True,Enrolled
INT0011113,STU013741,Peer Mentoring,Fall 2023,GPA drop,True,Withdrew
INT0011114,STU013745,Peer Mentoring,Fall 2022,GPA drop,True,Enrolled
INT0011115,STU013746,Financial Aid Counseling,Spring 2022,withdrawal risk,True,Enrolled
INT0011116,STU013747,AI Guide,Fall 2021,gateway course failure,True,Enrolled
INT0011117,STU013749,Financial Aid Counseling,Fall 2019,aid gap,True,Withdrew
INT0011118,STU013750,Tutoring,Fall 2018,GPA drop,True,Enrolled
INT0011119,STU013753,Advising,Fall 2022,GPA drop,True,Enrolled
INT0011120,STU013753,AI Guide,Spring 2022,gateway course failure,True,Graduated
INT0011121,STU013753,Peer Mentoring,Fall 2022,aid gap,True,Enrolled
INT0011122,STU013754,Peer Mentoring,Spring 2019,GPA drop,True,Enrolled
INT0011123,STU013754,Advising,Spring 2019,withdrawal risk,True,Enrolled
INT0011124,STU013754,AI Guide,Spring 2022,gateway course failure,False,Enrolled
INT0011125,STU013760,AI Guide,Fall 2019,withdrawal risk,False,Enrolled
INT0011126,STU013760,Tutoring,Fall 2019,gateway course failure,True,Enrolled
INT0011127,STU013764,Advising,Fall 2018,gateway course failure,True,Enrolled
INT0011128,STU013764,AI Guide,Spring 2018,aid gap,True,Withdrew
INT0011129,STU013764,Tutoring,Fall 2019,aid gap,True,Withdrew
INT0011130,STU013766,Peer Mentoring,Spring 2021,gateway course failure,True,Enrolled
INT0011131,STU013766,Financial Aid Counseling,Fall 2020,withdrawal risk,True,Enrolled
INT0011132,STU013771,Financial Aid Counseling,Fall 2018,GPA drop,True,Withdrew
INT0011133,STU013776,Financial Aid Counseling,Spring 2021,withdrawal risk,True,Graduated
INT0011134,STU013776,AI Guide,Fall 2021,gateway course failure,True,Enrolled
INT0011135,STU013778,Advising,Spring 2022,gateway course failure,True,Enrolled
INT0011136,STU013778,Advising,Fall 2022,withdrawal risk,False,Enrolled
INT0011137,STU013781,Advising,Spring 2021,withdrawal risk,True,Withdrew
INT0011138,STU013781,Peer Mentoring,Spring 2021,aid gap,True,Withdrew
INT0011139,STU013782,Financial Aid Counseling,Spring 2019,gateway course failure,True,Enrolled
INT0011140,STU013782,Advising,Spring 2020,gateway course failure,True,Enrolled
INT0011141,STU013784,Peer Mentoring,Fall 2020,gateway course failure,True,Withdrew
INT0011142,STU013784,AI Guide,Fall 2020,aid gap,False,Withdrew
INT0011143,STU013784,Financial Aid Counseling,Fall 2020,GPA drop,True,Withdrew
INT0011144,STU013786,Advising,Spring 2021,gateway course failure,True,Graduated
INT0011145,STU013788,Tutoring,Fall 2020,withdrawal risk,False,Enrolled
INT0011146,STU013788,Advising,Spring 2021,aid gap,False,Graduated
INT0011147,STU013788,Tutoring,Fall 2021,GPA drop,True,Enrolled
INT0011148,STU013789,Advising,Spring 2025,GPA drop,True,Graduated
INT0011149,STU013790,Peer Mentoring,Fall 2020,gateway course failure,True,Enrolled
INT0011150,STU013790,Tutoring,Fall 2020,aid gap,True,Enrolled
INT0011151,STU013790,AI Guide,Spring 2021,withdrawal risk,True,Graduated
INT0011152,STU013792,Financial Aid Counseling,Spring 2023,GPA drop,True,Graduated
INT0011153,STU013792,AI Guide,Fall 2021,aid gap,True,Enrolled
INT0011154,STU013796,Financial Aid Counseling,Spring 2020,GPA drop,True,Withdrew
INT0011155,STU013797,Tutoring,Fall 2020,gateway course failure,True,Enrolled
INT0011156,STU013797,Advising,Spring 2020,GPA drop,True,Withdrew
INT0011157,STU013802,Financial Aid Counseling,Spring 2021,gateway course failure,False,Withdrew
INT0011158,STU013802,Peer Mentoring,Fall 2021,GPA drop,True,Withdrew
INT0011159,STU013802,Financial Aid Counseling,Fall 2021,GPA drop,True,Withdrew
INT0011160,STU013803,Financial Aid Counseling,Fall 2018,GPA drop,True,Withdrew
INT0011161,STU013803,Advising,Spring 2018,withdrawal risk,True,Withdrew
INT0011162,STU013803,AI Guide,Spring 2018,gateway course failure,True,Withdrew
INT0011163,STU013805,Financial Aid Counseling,Spring 2022,gateway course failure,True,Withdrew
INT0011164,STU013807,Financial Aid Counseling,Spring 2020,GPA drop,True,Enrolled
INT0011165,STU013807,Tutoring,Spring 2021,GPA drop,True,Graduated
INT0011166,STU013807,Advising,Fall 2018,GPA drop,True,Enrolled
INT0011167,STU013808,AI Guide,Fall 2020,withdrawal risk,False,Withdrew
INT0011168,STU013809,Tutoring,Spring 2018,aid gap,False,Graduated
INT0011169,STU013812,Financial Aid Counseling,Fall 2019,withdrawal risk,True,Enrolled
INT0011170,STU013812,Advising,Fall 2020,aid gap,False,Enrolled
INT0011171,STU013817,Financial Aid Counseling,Fall 2022,aid gap,True,Enrolled
INT0011172,STU013817,Financial Aid Counseling,Spring 2023,withdrawal risk,False,Withdrew
INT0011173,STU013819,Tutoring,Fall 2021,aid gap,False,Withdrew
INT0011174,STU013822,Advising,Spring 2023,aid gap,True,Graduated
INT0011175,STU013822,Peer Mentoring,Fall 2023,gateway course failure,False,Enrolled
INT0011176,STU013828,Advising,Spring 2022,aid gap,True,Enrolled
INT0011177,STU013828,Financial Aid Counseling,Spring 2022,aid gap,False,Enrolled
INT0011178,STU013828,Financial Aid Counseling,Fall 2023,gateway course failure,True,Enrolled
INT0011179,STU013831,Advising,Spring 2019,GPA drop,False,Enrolled
INT0011180,STU013834,Financial Aid Counseling,Fall 2022,gateway course failure,True,Enrolled
INT0011181,STU013834,Financial Aid Counseling,Spring 2022,gateway course failure,False,Enrolled
INT0011182,STU013839,Advising,Spring 2022,gateway course failure,True,Graduated
INT0011183,STU013839,AI Guide,Fall 2022,aid gap,True,Enrolled
INT0011184,STU013839,AI Guide,Spring 2022,withdrawal risk,True,Graduated
INT0011185,STU013840,Advising,Spring 2024,gateway course failure,True,Enrolled
INT0011186,STU013840,Peer Mentoring,Spring 2023,GPA drop,False,Enrolled
INT0011187,STU013843,Peer Mentoring,Spring 2019,aid gap,True,Enrolled
INT0011188,STU013843,AI Guide,Fall 2020,GPA drop,True,Withdrew
INT0011189,STU013845,AI Guide,Spring 2020,GPA drop,True,Enrolled
INT0011190,STU013845,AI Guide,Fall 2021,GPA drop,False,Enrolled
INT0011191,STU013845,AI Guide,Fall 2020,aid gap,True,Enrolled
INT0011192,STU013846,Tutoring,Spring 2021,gateway course failure,False,Withdrew
INT0011193,STU013847,Advising,Fall 2020,GPA drop,True,Enrolled
INT0011194,STU013847,Financial Aid Counseling,Fall 2020,gateway course failure,True,Enrolled
INT0011195,STU013847,Advising,Fall 2019,withdrawal risk,True,Enrolled
INT0011196,STU013850,Advising,Fall 2023,gateway course failure,True,Enrolled
INT0011197,STU013850,Advising,Fall 2024,aid gap,False,Graduated
INT0011198,STU013853,Advising,Spring 2023,aid gap,True,Graduated
INT0011199,STU013855,AI Guide,Spring 2022,gateway course failure,True,Graduated
INT0011200,STU013855,Tutoring,Spring 2022,gateway course failure,True,Graduated
INT0011201,STU013855,AI Guide,Fall 2022,GPA drop,False,Enrolled
INT0011202,STU013856,Advising,Fall 2023,withdrawal risk,False,Enrolled
INT0011203,STU013858,Financial Aid Counseling,Fall 2020,GPA drop,False,Withdrew
INT0011204,STU013859,Advising,Fall 2022,aid gap,False,Enrolled
INT0011205,STU013859,AI Guide,Fall 2021,withdrawal risk,False,Enrolled
INT0011206,STU013866,Peer Mentoring,Fall 2018,withdrawal risk,True,Withdrew
INT0011207,STU013868,Peer Mentoring,Fall 2021,withdrawal risk,True,Enrolled
INT0011208,STU013868,Peer Mentoring,Spring 2021,gateway course failure,True,Graduated
INT0011209,STU013870,Peer Mentoring,Fall 2022,gateway course failure,True,Withdrew
INT0011210,STU013870,Financial Aid Counseling,Fall 2022,gateway course failure,False,Withdrew
INT0011211,STU013870,Tutoring,Fall 2022,GPA drop,True,Withdrew
INT0011212,STU013880,AI Guide,Fall 2023,withdrawal risk,False,Withdrew
INT0011213,STU013880,Advising,Fall 2018,GPA drop,True,Withdrew
INT0011214,STU013884,Peer Mentoring,Fall 2022,withdrawal risk,False,Enrolled
INT0011215,STU013884,Tutoring,Fall 2024,gateway course failure,True,Enrolled
INT0011216,STU013884,Advising,Fall 2026,gateway course failure,False,Enrolled
INT0011217,STU013885,Peer Mentoring,Fall 2019,aid gap,False,Enrolled
INT0011218,STU013885,Peer Mentoring,Spring 2021,withdrawal risk,True,Enrolled
INT0011219,STU013885,Tutoring,Fall 2022,GPA drop,True,Enrolled
INT0011220,STU013895,Tutoring,Fall 2020,withdrawal risk,False,Withdrew
INT0011221,STU013896,Financial Aid Counseling,Spring 2018,aid gap,True,Withdrew
INT0011222,STU013896,Tutoring,Spring 2018,aid gap,True,Withdrew
INT0011223,STU013896,Peer Mentoring,Fall 2018,withdrawal risk,True,Withdrew
INT0011224,STU013898,Tutoring,Fall 2024,aid gap,True,Withdrew
INT0011225,STU013898,Financial Aid Counseling,Spring 2024,GPA drop,True,Withdrew
INT0011226,STU013900,Tutoring,Fall 2022,withdrawal risk,False,Withdrew
INT0011227,STU013905,Tutoring,Spring 2022,GPA drop,True,Graduated
INT0011228,STU013907,Tutoring,Fall 2018,gateway course failure,True,Enrolled
INT0011229,STU013907,Advising,Fall 2019,gateway course failure,True,Withdrew
INT0011230,STU013908,Peer Mentoring,Fall 2022,GPA drop,True,Withdrew
INT0011231,STU013908,Financial Aid Counseling,Fall 2022,aid gap,True,Withdrew
INT0011232,STU013908,Tutoring,Fall 2022,gateway course failure,True,Withdrew
INT0011233,STU013910,AI Guide,Spring 2018,withdrawal risk,True,Withdrew
INT0011234,STU013910,AI Guide,Spring 2018,withdrawal risk,True,Withdrew
INT0011235,STU013911,Peer Mentoring,Fall 2025,GPA drop,True,Withdrew
INT0011236,STU013914,Tutoring,Spring 2018,GPA drop,True,Withdrew
INT0011237,STU013916,Advising,Fall 2021,gateway course failure,True,Enrolled
INT0011238,STU013917,Peer Mentoring,Fall 2021,withdrawal risk,True,Withdrew
INT0011239,STU013917,AI Guide,Fall 2020,withdrawal risk,True,Enrolled
INT0011240,STU013923,AI Guide,Spring 2020,aid gap,True,Enrolled
INT0011241,STU013923,Peer Mentoring,Fall 2021,withdrawal risk,True,Enrolled
INT0011242,STU013923,AI Guide,Spring 2020,gateway course failure,True,Enrolled
INT0011243,STU013926,Financial Aid Counseling,Fall 2018,withdrawal risk,False,Enrolled
INT0011244,STU013928,Advising,Spring 2018,GPA drop,True,Withdrew
INT0011245,STU013928,AI Guide,Fall 2018,GPA drop,True,Withdrew
INT0011246,STU013930,Tutoring,Fall 2022,withdrawal risk,True,Withdrew
INT0011247,STU013936,Financial Aid Counseling,Fall 2018,withdrawal risk,True,Enrolled
INT0011248,STU013936,AI Guide,Spring 2018,aid gap,True,Graduated
INT0011249,STU013936,Financial Aid Counseling,Fall 2018,withdrawal risk,True,Enrolled
INT0011250,STU013937,Peer Mentoring,Fall 2022,GPA drop,True,Withdrew
INT0011251,STU013937,Peer Mentoring,Fall 2022,aid gap,True,Withdrew
INT0011252,STU013937,AI Guide,Fall 2022,aid gap,True,Withdrew
INT0011253,STU013938,Advising,Fall 2021,withdrawal risk,False,Enrolled
INT0011254,STU013938,Financial Aid Counseling,Fall 2021,gateway course failure,False,Enrolled
INT0011255,STU013941,Tutoring,Spring 2025,gateway course failure,True,Graduated
INT0011256,STU013941,Financial Aid Counseling,Spring 2023,withdrawal risk,True,Enrolled
INT0011257,STU013941,Peer Mentoring,Fall 2022,aid gap,True,Enrolled
INT0011258,STU013943,Advising,Spring 2022,withdrawal risk,False,Enrolled
INT0011259,STU013943,AI Guide,Fall 2022,gateway course failure,False,Enrolled
INT0011260,STU013952,Tutoring,Fall 2021,gateway course failure,False,Withdrew
INT0011261,STU013952,Peer Mentoring,Fall 2021,aid gap,True,Withdrew
INT0011262,STU013952,Advising,Fall 2019,gateway course failure,True,Enrolled
INT0011263,STU013954,Financial Aid Counseling,Fall 2020,withdrawal risk,True,Withdrew
INT0011264,STU013954,AI Guide,Fall 2020,gateway course failure,False,Withdrew
INT0011265,STU013954,AI Guide,Fall 2020,GPA drop,True,Withdrew
INT0011266,STU013955,Advising,Fall 2021,gateway course failure,True,Withdrew
INT0011267,STU013957,Financial Aid Counseling,Fall 2019,aid gap,True,Withdrew
INT0011268,STU013962,Tutoring,Fall 2021,gateway course failure,True,Withdrew
INT0011269,STU013962,AI Guide,Fall 2021,aid gap,False,Withdrew
INT0011270,STU013962,Tutoring,Fall 2021,aid gap,False,Withdrew
INT0011271,STU013964,Financial Aid Counseling,Fall 2020,withdrawal risk,True,Withdrew
INT0011272,STU013965,Tutoring,Fall 2018,gateway course failure,False,Withdrew
INT0011273,STU013965,Advising,Fall 2018,aid gap,True,Withdrew
INT0011274,STU013968,AI Guide,Spring 2020,GPA drop,True,Withdrew
INT0011275,STU013968,Peer Mentoring,Fall 2020,aid gap,True,Withdrew
INT0011276,STU013970,Tutoring,Spring 2019,aid gap,True,Withdrew
INT0011277,STU013970,Financial Aid Counseling,Fall 2018,GPA drop,True,Enrolled
INT0011278,STU013970,AI Guide,Spring 2019,withdrawal risk,True,Withdrew
INT0011279,STU013971,Peer Mentoring,Spring 2018,gateway course failure,False,Withdrew
INT0011280,STU013971,Advising,Spring 2018,gateway course failure,True,Withdrew
INT0011281,STU013977,AI Guide,Spring 2022,GPA drop,True,Enrolled
INT0011282,STU013977,AI Guide,Spring 2024,gateway course failure,True,Enrolled
INT0011283,STU013977,AI Guide,Fall 2025,gateway course failure,False,Withdrew
INT0011284,STU013982,Tutoring,Spring 2024,withdrawal risk,True,Enrolled
INT0011285,STU013983,Financial Aid Counseling,Spring 2018,gateway course failure,True,Withdrew
INT0011286,STU013983,AI Guide,Spring 2018,aid gap,False,Withdrew
INT0011287,STU013984,Financial Aid Counseling,Spring 2018,aid gap,True,Withdrew
INT0011288,STU013984,Peer Mentoring,Spring 2018,aid gap,True,Withdrew
INT0011289,STU013984,Financial Aid Counseling,Spring 2018,GPA drop,False,Withdrew
INT0011290,STU013985,AI Guide,Fall 2020,withdrawal risk,True,Enrolled
INT0011291,STU013986,Advising,Fall 2022,GPA drop,True,Withdrew
INT0011292,STU013986,Tutoring,Fall 2021,gateway course failure,True,Enrolled
INT0011293,STU013986,Advising,Spring 2020,aid gap,True,Enrolled
INT0011294,STU013987,Tutoring,Spring 2025,GPA drop,False,Enrolled
INT0011295,STU013990,Tutoring,Fall 2021,GPA drop,True,Withdrew
INT0011296,STU013992,Peer Mentoring,Spring 2021,GPA drop,False,Graduated
INT0011297,STU013992,AI Guide,Fall 2020,aid gap,True,Enrolled
INT0011298,STU013992,Tutoring,Spring 2021,gateway course failure,True,Graduated
INT0011299,STU013993,Peer Mentoring,Fall 2018,gateway course failure,True,Enrolled
INT0011300,STU013993,Tutoring,Fall 2018,withdrawal risk,False,Enrolled
INT0011301,STU013996,Peer Mentoring,Fall 2020,GPA drop,True,Withdrew
INT0011302,STU013996,Financial Aid Counseling,Fall 2020,withdrawal risk,False,Withdrew
INT0011303,STU014004,Peer Mentoring,Spring 2020,withdrawal risk,True,Graduated
INT0011304,STU014004,Financial Aid Counseling,Spring 2019,GPA drop,True,Enrolled
INT0011305,STU014004,Financial Aid Counseling,Spring 2020,GPA drop,True,Graduated
INT0011306,STU014006,Financial Aid Counseling,Fall 2020,gateway course failure,True,Enrolled
INT0011307,STU014007,AI Guide,Spring 2018,gateway course failure,True,Withdrew
INT0011308,STU014008,Peer Mentoring,Spring 2024,GPA drop,True,Graduated
INT0011309,STU014008,Financial Aid Counseling,Spring 2021,aid gap,True,Enrolled
INT0011310,STU014009,Advising,Fall 2022,gateway course failure,True,Withdrew
INT0011311,STU014009,Peer Mentoring,Fall 2021,withdrawal risk,True,Enrolled
INT0011312,STU014009,AI Guide,Fall 2021,GPA drop,True,Enrolled
INT0011313,STU014010,Tutoring,Fall 2018,aid gap,True,Withdrew
INT0011314,STU014010,AI Guide,Fall 2018,gateway course failure,True,Withdrew
INT0011315,STU014010,Tutoring,Fall 2018,withdrawal risk,False,Withdrew
INT0011316,STU014011,Tutoring,Spring 2022,GPA drop,False,Withdrew
INT0011317,STU014011,Advising,Spring 2022,aid gap,True,Withdrew
INT0011318,STU014011,Peer Mentoring,Fall 2022,aid gap,True,Enrolled
INT0011319,STU014012,Advising,Spring 2022,withdrawal risk,True,Graduated
INT0011320,STU014012,Financial Aid Counseling,Fall 2022,GPA drop,True,Withdrew
INT0011321,STU014015,Peer Mentoring,Fall 2019,withdrawal risk,True,Enrolled
INT0011322,STU014015,Tutoring,Spring 2019,withdrawal risk,True,Graduated
INT0011323,STU014015,AI Guide,Fall 2019,aid gap,True,Enrolled
INT0011324,STU014018,Tutoring,Spring 2018,withdrawal risk,True,Enrolled
INT0011325,STU014018,Tutoring,Fall 2019,withdrawal risk,True,Enrolled
INT0011326,STU014020,Financial Aid Counseling,Spring 2020,gateway course failure,True,Graduated
INT0011327,STU014021,AI Guide,Fall 2019,gateway course failure,True,Enrolled
INT0011328,STU014021,Tutoring,Spring 2019,aid gap,True,Enrolled
INT0011329,STU014022,Tutoring,Fall 2021,GPA drop,True,Withdrew
INT0011330,STU014023,Tutoring,Fall 2022,GPA drop,False,Enrolled
INT0011331,STU014023,Advising,Fall 2022,aid gap,False,Enrolled
INT0011332,STU014024,Advising,Fall 2021,withdrawal risk,True,Withdrew
INT0011333,STU014025,Peer Mentoring,Spring 2018,gateway course failure,True,Enrolled
INT0011334,STU014027,Advising,Fall 2018,withdrawal risk,False,Enrolled
INT0011335,STU014027,AI Guide,Spring 2018,GPA drop,False,Graduated
INT0011336,STU014030,Peer Mentoring,Spring 2018,aid gap,False,Graduated
INT0011337,STU014033,Advising,Spring 2021,aid gap,False,Graduated
INT0011338,STU014037,Financial Aid Counseling,Spring 2023,gateway course failure,True,Enrolled
INT0011339,STU014038,AI Guide,Fall 2024,gateway course failure,False,Enrolled
INT0011340,STU014038,Tutoring,Fall 2024,gateway course failure,True,Enrolled
INT0011341,STU014038,Peer Mentoring,Spring 2025,gateway course failure,True,Graduated
INT0011342,STU014040,Peer Mentoring,Spring 2023,gateway course failure,True,Graduated
INT0011343,STU014040,Advising,Spring 2023,withdrawal risk,False,Graduated
INT0011344,STU014040,Advising,Fall 2023,withdrawal risk,True,Enrolled
INT0011345,STU014041,Financial Aid Counseling,Fall 2022,withdrawal risk,True,Withdrew
INT0011346,STU014041,Advising,Spring 2021,aid gap,True,Withdrew
INT0011347,STU014048,Peer Mentoring,Spring 2020,withdrawal risk,True,Enrolled
INT0011348,STU014048,AI Guide,Spring 2023,gateway course failure,True,Graduated
INT0011349,STU014048,Peer Mentoring,Fall 2022,gateway course failure,True,Enrolled
INT0011350,STU014050,Financial Aid Counseling,Fall 2020,gateway course failure,True,Withdrew
INT0011351,STU014050,AI Guide,Fall 2020,gateway course failure,True,Withdrew
INT0011352,STU014053,AI Guide,Spring 2019,aid gap,True,Withdrew
INT0011353,STU014054,AI Guide,Fall 2020,GPA drop,True,Enrolled
INT0011354,STU014054,AI Guide,Fall 2018,gateway course failure,True,Enrolled
INT0011355,STU014054,Tutoring,Fall 2021,aid gap,True,Withdrew
INT0011356,STU014058,Peer Mentoring,Spring 2020,gateway course failure,False,Withdrew
INT0011357,STU014058,Advising,Fall 2020,aid gap,True,Withdrew
INT0011358,STU014058,Financial Aid Counseling,Spring 2020,gateway course failure,True,Withdrew
INT0011359,STU014059,Advising,Fall 2022,GPA drop,False,Withdrew
INT0011360,STU014060,Advising,Spring 2020,GPA drop,False,Withdrew
INT0011361,STU014062,AI Guide,Fall 2022,aid gap,True,Withdrew
INT0011362,STU014062,Tutoring,Spring 2022,GPA drop,False,Withdrew
INT0011363,STU014063,Financial Aid Counseling,Fall 2022,aid gap,True,Enrolled
INT0011364,STU014063,Tutoring,Fall 2022,withdrawal risk,True,Enrolled
INT0011365,STU014067,Financial Aid Counseling,Spring 2025,withdrawal risk,True,Graduated
INT0011366,STU014067,Tutoring,Spring 2025,gateway course failure,True,Graduated
INT0011367,STU014067,Advising,Fall 2025,gateway course failure,True,Enrolled
INT0011368,STU014071,Advising,Fall 2020,withdrawal risk,True,Enrolled
INT0011369,STU014071,Financial Aid Counseling,Spring 2021,aid gap,True,Enrolled
INT0011370,STU014071,Advising,Spring 2020,aid gap,True,Enrolled
INT0011371,STU014072,Financial Aid Counseling,Fall 2020,withdrawal risk,True,Withdrew
INT0011372,STU014074,Tutoring,Spring 2022,aid gap,True,Graduated
INT0011373,STU014074,Tutoring,Spring 2021,aid gap,True,Enrolled
INT0011374,STU014079,AI Guide,Fall 2021,GPA drop,False,Withdrew
INT0011375,STU014079,Peer Mentoring,Spring 2021,gateway course failure,True,Withdrew
INT0011376,STU014084,Tutoring,Spring 2019,aid gap,True,Enrolled
INT0011377,STU014084,Advising,Spring 2019,withdrawal risk,True,Enrolled
INT0011378,STU014084,Advising,Fall 2020,aid gap,True,Enrolled
INT0011379,STU014085,Tutoring,Fall 2018,aid gap,True,Withdrew
INT0011380,STU014085,Financial Aid Counseling,Fall 2018,withdrawal risk,True,Withdrew
INT0011381,STU014087,Peer Mentoring,Spring 2018,aid gap,True,Enrolled
INT0011382,STU014089,Financial Aid Counseling,Spring 2023,GPA drop,False,Enrolled
INT0011383,STU014089,AI Guide,Spring 2022,aid gap,True,Withdrew
INT0011384,STU014090,Advising,Fall 2023,withdrawal risk,True,Enrolled
INT0011385,STU014090,Advising,Spring 2023,gateway course failure,True,Enrolled
INT0011386,STU014090,Peer Mentoring,Fall 2024,aid gap,False,Enrolled
INT0011387,STU014094,Peer Mentoring,Spring 2020,gateway course failure,True,Withdrew
INT0011388,STU014094,Peer Mentoring,Spring 2020,GPA drop,True,Withdrew
INT0011389,STU014095,Financial Aid Counseling,Spring 2022,gateway course failure,True,Enrolled
